time,phase,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,tool_contact_x,tool_contact_y,tool_contact_z,first_contact_tcp_x,first_contact_tcp_y,first_contact_tcp_z,first_contact_x,first_contact_y,first_contact_z,edge_target_x,edge_target_y,edge_target_z,tool_contact_offset_ee_x,tool_contact_offset_ee_y,tool_contact_offset_ee_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,alignment_error_t1_deg,alignment_error_t2_deg,alignment_error_normal_deg,alignment_angle_deg,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,external_force_x,external_force_y,external_force_z,external_moment_x,external_moment_y,external_moment_z,contact_force_bias_x,contact_force_bias_y,contact_force_bias_z,contact_moment_bias_x,contact_moment_bias_y,contact_moment_bias_z,force_after_contact_x,force_after_contact_y,force_after_contact_z,moment_after_contact_x,moment_after_contact_y,moment_after_contact_z,push,nullspace_mode,tau_nullspace_norm,nullspace_damping,disturbance_scale,disturbance_torque_scale,disturbance_point_base_x,disturbance_point_base_y,disturbance_point_base_z,disturbance_force_base_x,disturbance_force_base_y,disturbance_force_base_z,tau_disturbance_1,tau_disturbance_2,tau_disturbance_3,tau_disturbance_4,tau_disturbance_5,tau_disturbance_6,tau_disturbance_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7
1.290000000,1,0.522121160,0.008330534,0.133132303,0.530860003,0.001687073,0.127883493,0.540957823,-0.048436114,0.104450414,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008738842,-0.006643461,-0.005248811,0.007606565,-0.004179901,-0.000297315,-9.563823998,-0.239306849,0.000000000,9.566817508,0.005955362,-0.001654257,-0.074452171,-0.001724466,-0.002766328,-0.099946854,0.007795254,-0.020177435,0.042358693,0.286705355,-1.125346226,-4.058258506,2.141716672,-0.565283899,-0.131269921,-1.626785106,-0.409794974,-0.012040203,1.203607763,-1.171457713,-0.251268472,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-2.046852228,0.279058255,-1.775392446,-0.100471527,-0.882272603,-0.010720579,0.000000000,3,0.931901209,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.099097116,1.484538061,-0.832638850,-0.791086306,1.485336502,-0.052953343,-0.223450361
1.291000000,1,0.522143139,0.008323308,0.133073401,0.530858278,0.001684306,0.127783546,0.540984948,-0.048442601,0.104393428,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008715139,-0.006639001,-0.005289855,0.007610061,-0.004088230,-0.000341386,-9.563577340,-0.234444913,0.000000000,9.566450541,0.008605575,-0.003233469,-0.071363053,-0.001724466,-0.002766328,-0.099946854,0.004199461,-0.034149035,0.041483518,-0.070792954,-0.978746938,-4.458970761,2.213594788,-0.087182380,-0.146804571,-1.710816469,-0.454302301,-0.044495284,1.214012697,-1.180300239,-0.275682406,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-2.130883591,0.234550928,-1.807847527,-0.090066594,-0.891115129,-0.035134513,0.000000000,3,0.938809585,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.030720526,2.241810456,-0.747938870,-1.586602190,1.538253840,-0.642346814,-0.149555642
1.292000000,1,0.522165277,0.008316656,0.133013429,0.530856554,0.001681540,0.127683599,0.541012735,-0.048448492,0.104335664,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008691276,-0.006635116,-0.005329830,0.007616602,-0.003990201,-0.000391075,-9.563150386,-0.229266306,0.000000000,9.565898199,0.011333503,-0.004786443,-0.070073686,-0.001724466,-0.002766328,-0.099946854,-0.000204422,-0.049296788,0.045054623,-0.438868490,-0.833009539,-4.628658273,2.303727366,0.434551771,-0.173223504,-1.737180034,-0.493443176,-0.110552970,1.223598091,-1.155782995,-0.296441221,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-2.157247156,0.195410053,-1.873905212,-0.080481199,-0.866597885,-0.055893328,0.000000000,3,0.935650413,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.019833701,2.923988414,-0.662426672,-2.348648612,1.608818778,-1.261681484,-0.058060614
1.293000000,1,0.522185364,0.008312032,0.132951125,0.530854829,0.001678774,0.127583652,0.541039047,-0.048452131,0.104275501,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008669465,-0.006633259,-0.005367473,0.007623074,-0.003895428,-0.000452625,-9.562714553,-0.224370428,0.000000000,9.565346398,0.013837557,-0.004787042,-0.067917354,-0.001724466,-0.002766328,-0.099946854,-0.002635236,-0.060930304,0.050401844,-0.776629657,-0.834701079,-4.910699198,2.355460631,0.843413824,-0.200779809,-1.702035746,-0.524380525,-0.199711039,1.231721017,-1.101931515,-0.312033737,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-2.122102869,0.164472705,-1.963063282,-0.072358274,-0.812746405,-0.071485844,0.000000000,3,0.934397956,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.006529809,3.547144440,-0.671504858,-3.022879077,1.650966208,-1.757962790,0.021099774
1.294000000,1,0.522205035,0.008304461,0.132889373,0.530853105,0.001676007,0.127483705,0.541064840,-0.048458772,0.104215934,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008648070,-0.006628453,-0.005405668,0.007629048,-0.003796923,-0.000510427,-9.562311783,-0.219231315,0.000000000,9.564824567,0.014422463,-0.005128541,-0.066335478,-0.001724466,-0.002766328,-0.099946854,-0.000359742,-0.065018364,0.049880159,-0.857871664,-0.803284919,-5.118984245,2.312285786,1.004864261,-0.208249518,-1.606642407,-0.549492566,-0.301852765,1.239101235,-1.024164621,-0.323713904,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-2.026709529,0.139360663,-2.065205008,-0.064978056,-0.734979512,-0.083166011,0.000000000,3,0.930195389,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000122564,3.833965796,-0.668408393,-3.297986485,1.629586047,-1.939787512,0.052740837
1.295000000,1,0.522219908,0.008296303,0.132824451,0.530851380,0.001673241,0.127383758,0.541084660,-0.048466204,0.104152828,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008631473,-0.006623061,-0.005440693,0.007633588,-0.003713837,-0.000555383,-9.562005004,-0.214865526,0.000000000,9.564418795,0.012393416,-0.002969366,-0.068360912,-0.001724466,-0.002766328,-0.099946854,-0.000112294,-0.062008524,0.048037393,-0.589343024,-1.004067709,-4.866627053,2.308373343,0.931312151,-0.206437078,-1.451903225,-0.574512797,-0.401732936,1.247351881,-0.930346902,-0.334488527,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-1.871970347,0.114340432,-2.165085179,-0.056727410,-0.641161792,-0.093940634,0.000000000,3,0.923916024,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.109391723,3.574361196,-0.777021392,-3.002797469,1.617936713,-1.782806303,0.042650338
1.296000000,1,0.522234584,0.008288214,0.132762166,0.530849656,0.001670475,0.127283811,0.541103850,-0.048473519,0.104091982,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008615071,-0.006617739,-0.005478355,0.007633362,-0.003636411,-0.000595571,-9.561976530,-0.210783881,0.000000000,9.564299504,0.013099026,-0.003914452,-0.066563170,-0.001724466,-0.002766328,-0.099946854,0.001578388,-0.064520489,0.042394224,-0.685950652,-0.915890952,-5.101944323,2.273281576,1.031155926,-0.200552885,-1.242027752,-0.605066954,-0.481120396,1.258096346,-0.830629495,-0.347301822,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-1.662094874,0.083786275,-2.244472639,-0.045982944,-0.541444385,-0.106753929,0.000000000,3,0.926612362,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.055306222,3.816850457,-0.732049181,-3.233533389,1.595468610,-1.916054257,0.051195807
1.297000000,1,0.522241470,0.008280101,0.132692545,0.530847931,0.001667709,0.127183865,0.541114733,-0.048480787,0.104023319,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008606461,-0.006612393,-0.005508680,0.007634909,-0.003589833,-0.000642370,-9.561838330,-0.208513750,0.000000000,9.564111576,0.010775562,-0.004969533,-0.068131567,-0.001724466,-0.002766328,-0.099946854,0.000080904,-0.054768368,0.044096552,-0.376838561,-0.814177797,-4.904510085,2.304109244,0.731924678,-0.200823016,-0.988757310,-0.635517932,-0.533309578,1.269560661,-0.731624519,-0.359382365,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-1.408824432,0.053335298,-2.296661821,-0.034518629,-0.442439409,-0.118834472,0.000000000,3,0.931004548,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001942161,3.351974005,-0.673530315,-2.713577793,1.627714419,-1.556621343,0.009607323
1.298000000,1,0.522242146,0.008270748,0.132618101,0.530846207,0.001664942,0.127083918,0.541117936,-0.048489320,0.103948915,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008604061,-0.006605806,-0.005534183,0.007630710,-0.003574692,-0.000679280,-9.562039035,-0.207954701,-0.000000000,9.564300062,0.009060159,-0.006079468,-0.068943656,-0.001724466,-0.002766328,-0.099946854,0.002887148,-0.044259815,0.041180903,-0.147997926,-0.707820302,-4.803268076,2.246717689,0.394954221,-0.188598926,-0.710246539,-0.655034677,-0.551544563,1.278438579,-0.641969667,-0.365333508,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-1.130313661,0.033818553,-2.314896806,-0.025640712,-0.352784557,-0.124785615,0.000000000,3,0.927796950,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.061576568,2.917256057,-0.617736165,-2.228991080,1.596668641,-1.168876091,-0.043802812
1.299000000,1,0.522234586,0.008261477,0.132537233,0.530844483,0.001662176,0.126983971,0.541110920,-0.048497829,0.103866897,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008609897,-0.006599301,-0.005553262,0.007617750,-0.003596512,-0.000700038,-9.562757960,-0.209370562,0.000000000,9.565049703,0.005266746,-0.007280708,-0.071317306,-0.001724466,-0.002766328,-0.099946854,0.004127331,-0.027178437,0.039454181,0.359677602,-0.591402803,-4.500842438,2.218013727,-0.164435794,-0.172076921,-0.425622682,-0.656096831,-0.527378729,1.282379212,-0.571405295,-0.361504023,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-0.845689804,0.032756398,-2.290730971,-0.021700079,-0.282220185,-0.120956130,0.000000000,3,0.931301384,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.137002483,2.098181470,-0.551991843,-1.314352109,1.587227481,-0.498051614,-0.133561180
1.300000000,1,0.522222533,0.008256696,0.132453856,0.530842758,0.001659410,0.126884024,0.541098948,-0.048501640,0.103781654,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.531360098,0.002489308,0.156868080,0.020000000,0.060000000,0.020000000,0.008620225,-0.006597287,-0.005569832,0.007600890,-0.003644466,-0.000725946,-9.563693647,-0.212318353,0.000000000,9.566050139,0.001760763,-0.006006904,-0.073722977,-0.001724466,-0.002766328,-0.099946854,0.008727589,-0.007701434,0.033783738,0.829613054,-0.708893841,-4.196239568,2.120568040,-0.812257806,-0.144750054,-0.152094998,-0.638411394,-0.455828767,1.281112593,-0.527259432,-0.347996604,0.420067122,-0.688853229,1.763352243,1.304079290,-0.289185110,-0.240547893,-0.572162121,0.050441835,-2.219181010,-0.022966697,-0.238074322,-0.107448711,0.000000000,3,0.930023192,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.098309667,1.198898458,-0.620289560,-0.328137661,1.515450720,0.274885643,-0.241620791
